% Model:              Data taken by AP-STD
% Version:            Merged file.  See EMPHATIC DocDB 1643
% Date:               Sep 13 2023, 10:53
% Dimension:          3
% Nodes:              53742
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bx (T)              mfnc.By (T)              mfnc.Bz (T)
0                         10                       -290                     1.14759e-06              -0.000751235             -9.40126e-05            
5                         10                       -290                     5.78623e-05              -0.000723873             -9.73469e-05            
10                        10                       -290                     7.99896e-05              -0.00070988              -8.17424e-05            
15                        10                       -290                     2.98741e-05              -0.000708626             -6.36431e-05            
-15                       15                       -290                     0                        0                        0                       
-10                       15                       -290                     1.99488e-05              -0.000731168             -0.000107919            
-5                        15                       -290                     -2.13756e-05             -0.000724402             -0.000137435            
0                         15                       -290                     2.57416e-05              -0.000777082             -0.000115889            
5                         15                       -290                     2.79279e-05              -0.000736054             -0.000133952            
10                        15                       -290                     5.70444e-05              -0.000745799             -0.00014398             
15                        15                       -290                     0                        0                        0                       
-15                       -15                      -285                     0                        0                        0                       
-10                       -15                      -285                     2.99601e-05              -0.000797885             0.000133475             
-5                        -15                      -285                     -2.50898e-05             -0.000768858             0.000110509             
0                         -15                      -285                     2.43746e-05              -0.000780747             0.000157531             
5                         -15                      -285                     4.49501e-05              -0.000793652             0.000106068             
