#run	subrun	status
1037	3	bad
1037	4	bad
1037	5	bad
1037	6	bad
1037	7	bad
1037	8	bad
1037	9	bad
1037	10	bad
1037	11	bad
1037	12	bad
1037	13	bad
1037	14	bad
1037	15	bad
1037	16	bad
1037	17	bad
1037	18	bad
1037	19	bad
1037	20	bad
1037	21	bad
1037	22	bad
1037	23	bad
1037	24	bad
1037	25	bad
1037	26	bad
1037	27	bad
1037	28	bad
1037	29	bad
1037	30	bad
1037	31	bad
1037	32	bad
1037	33	bad
1037	34	bad
1037	35	bad
1037	36	bad
1037	37	bad
1037	38	bad
1037	39	bad
1037	40	bad
1037	41	bad
1037	42	bad
1037	43	bad
1037	44	bad
1037	45	bad
1037	46	bad
1037	47	bad
1037	48	bad
1037	49	bad
1037	50	bad
1037	51	bad
1037	52	bad
1037	53	bad
1037	54	bad
1037	55	bad
1037	56	bad
1037	57	bad
1037	58	bad
1037	59	bad
1037	60	bad
1037	61	bad
1037	62	bad
1037	63	bad
1037	64	bad
1037	65	bad
1037	66	bad
1037	67	bad
1037	68	bad
1037	69	bad
1037	70	bad
1037	71	bad
1037	72	bad
1037	73	bad
1037	74	bad
1037	75	bad
1037	76	bad
1037	77	bad
1037	78	bad
1037	79	bad
1037	80	bad
1037	81	bad
1037	82	bad
1037	83	bad
1037	84	bad
1037	85	bad
1037	86	bad
1037	87	bad
1037	88	bad
1037	89	bad
1037	90	bad
1037	91	bad
1037	92	bad
1037	93	bad
1037	94	bad
1037	95	bad
1037	96	bad
1037	97	bad
1037	98	bad
1037	99	bad
1037	100	bad
1037	101	bad
1037	102	bad
1037	103	bad
1037	104	bad
1037	105	bad
1037	106	bad
1037	107	bad
1037	108	bad
1037	109	bad
1037	110	bad
1037	111	bad
1037	112	bad
1037	113	bad
1037	114	bad
1037	115	bad
1039	1	bad
1039	2	bad
1039	3	bad
1039	4	bad
1039	5	bad
1039	6	bad
1039	7	bad
1039	8	bad
1039	9	bad
1039	10	bad
1039	11	bad
1039	12	bad
1039	13	bad
1039	14	bad
1039	15	bad
1039	16	bad
1039	17	bad
1039	18	bad
1039	19	bad
1039	20	bad
1039	21	bad
1039	22	bad
1039	23	bad
1039	24	bad
1039	25	bad
1039	26	bad
1039	27	bad
1040	1	bad
1040	2	bad
