% Model:              Derived from data taken by AP-STD
% Version:            Stitched-together map.  See EMPHATIC DocDB 1643
% Date:               14 May 2024, 10:50 Chicago time
% Dimension:          3
% Nodes:              7791
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bx (kG)             mfnc.By (kG)             mfnc.Bz (kG)
5                         0                        -300                     -0.000304825             0.00651339               5.66068e-05             
10                        0                        -300                     -0.000161701             0.00668756               0.000217856             
15                        0                        -300                     0.000209563              0.00641739               8.90703e-05             
-15                       5                        -300                     0.000126932              0.00672613               0.000616754             
-10                       5                        -300                     -6.21518e-05             0.00675208               0.000696445             
-5                        5                        -300                     -0.000214834             0.00691176               0.000588344             
0                         5                        -300                     -0.000230274             0.00668294               0.000366352             
5                         5                        -300                     -0.000489738             0.00714942               0.000695781             
10                        5                        -300                     -0.000219255             0.00684975               0.000444221             
15                        5                        -300                     -0.00063929              0.00617242               0.00107143              
-15                       10                       -300                     -0.000212347             0.00666863               0.00113379              
-10                       10                       -300                     -0.000103899             0.00655086               0.000894641             
-5                        10                       -300                     -0.000549791             0.00640177               0.000600644             
0                         10                       -300                     -0.000464735             0.00655062               0.00076599              
5                         10                       -300                     -0.000433321             0.00667796               0.000974817             
10                        10                       -300                     -1.94291e-05             0.00684555               0.00106492              
15                        10                       -300                     -0.000214897             0.00645277               0.000895769             
-15                       15                       -300                     0                        0                        0                       
-10                       15                       -300                     0.00020574               0.00664846               0.000848038             
-5                        15                       -300                     -0.000281268             0.00691391               0.00132578              
0                         15                       -300                     0.000189285              0.00676566               0.00122622              
5                         15                       -300                     -6.28286e-05             0.00658139               0.00112213              
10                        15                       -300                     0.000346664              0.00700135               0.00159644              
15                        15                       -300                     0                        0                        0                       
-15                       -15                      -295                     0                        0                        0                       
-10                       -15                      -295                     -0.000611005             0.00704973               -0.00183863             
-5                        -15                      -295                     -0.000612107             0.00710362               -0.00103604             
0                         -15                      -295                     -0.000471303             0.00693544               -0.00141407             
5                         -15                      -295                     -0.000370156             0.00666632               -0.00125151             
10                        -15                      -295                     -0.000361986             0.00671838               -0.00095454             
15                        -15                      -295                     0                        0                        0                       
-15                       -10                      -295                     -0.000994658             0.0070923                -0.000376503            
-10                       -10                      -295                     -0.000514402             0.00689869               -0.000541158            
-5                        -10                      -295                     -0.000122279             0.0068487                -0.000932907            
0                         -10                      -295                     8.08214e-05              0.00685618               -0.000546533            
5                         -10                      -295                     -0.000210572             0.0068064                -0.000627779            
10                        -10                      -295                     -0.000618072             0.00730076               -0.000848463            
15                        -10                      -295                     -0.000272904             0.00680846               -0.000498991            
-15                       -5                       -295                     -0.000307542             0.00691871               -0.000137421            
-10                       -5                       -295                     -0.000193143             0.0069882                -0.000245745            
-5                        -5                       -295                     -4.47189e-05             0.00703271               -0.000108571            
0                         -5                       -295                     -0.000417606             0.00687169               -0.000284703            
5                         -5                       -295                     -0.000340185             0.00694513               -0.000194355            
10                        -5                       -295                     -0.000366711             0.00673903               0.000255425             
15                        -5                       -295                     -0.000336695             0.00693465               -0.000144602            
-15                       0                        -295                     -0.000438284             0.00718152               6.16057e-05             
-10                       0                        -295                     -0.000376158             0.00708932               0.000151954             
-5                        0                        -295                     -0.000290289             0.00741676               8.79438e-05             
0                         0                        -295                     -0.000156584             0.00726784               -9.25196e-05            
5                         0                        -295                     -0.000722169             0.00715776               0.000253211             
10                        0                        -295                     -0.000878436             0.00699869               -6.10419e-05            
15                        0                        -295                     -0.000138082             0.00689795               0.000118962             
-15                       5                        -295                     -0.000418116             0.00700523               0.000212003             
-10                       5                        -295                     -0.000287862             0.00692541               0.000888135             
-5                        5                        -295                     -0.000258309             0.0068978                0.000198007             
0                         5                        -295                     -0.000431027             0.00705158               0.000544279             
5                         5                        -295                     -0.0002417               0.00720352               0.000376351             
10                        5                        -295                     -0.00080315              0.00687626               0.000321172             
15                        5                        -295                     -0.000506939             0.00671516               0.000550232             
-15                       10                       -295                     7.40663e-05              0.00689681               0.00110514              
-10                       10                       -295                     -0.000212576             0.00697249               0.000880009             
-5                        10                       -295                     -0.000381324             0.00714158               0.00104028              
0                         10                       -295                     -0.000315322             0.00699287               0.00100915              
5                         10                       -295                     -0.000392389             0.0075757                0.00108496              
10                        10                       -295                     -0.000193739             0.00697604               0.00111233              
15                        10                       -295                     -0.00056311              0.00664131               0.000428027             
-15                       15                       -295                     0                        0                        0                       
-10                       15                       -295                     -7.16057e-05             0.00726681               0.00129908              
-5                        15                       -295                     7.2861e-05               0.00705198               0.00161349              
0                         15                       -295                     -0.00042536              0.00700508               0.00166029              
5                         15                       -295                     -0.00028995              0.00686697               0.00154085              
10                        15                       -295                     3.89255e-05              0.0068368                0.00160842              
15                        15                       -295                     0                        0                        0                       
-15                       -15                      -290                     0                        0                        0                       
-10                       -15                      -290                     -0.000553336             0.00713299               -0.00178859             
-5                        -15                      -290                     -0.000128629             0.00736228               -0.00159463             
0                         -15                      -290                     -0.000224434             0.00730041               -0.00142521             
5                         -15                      -290                     -0.000217254             0.00729031               -0.00130595             
10                        -15                      -290                     2.68678e-05              0.00760188               -0.00155606             
15                        -15                      -290                     0                        0                        0                       
-15                       -10                      -290                     0.000136483              0.00727442               0.000355874             
-10                       -10                      -290                     -8.3389e-05              0.00778836               -0.000759612            
-5                        -10                      -290                     -0.000511397             0.00725053               -0.000847097            
0                         -10                      -290                     -0.00014681              0.00731735               -0.000707398            
5                         -10                      -290                     -0.000462919             0.00745636               -0.000690753            
10                        -10                      -290                     -0.000298454             0.00735334               -0.000602548            
15                        -10                      -290                     -6.68396e-05             0.00763108               -0.000859643            
-15                       -5                       -290                     -0.000222436             0.00719557               -0.000367068            
-10                       -5                       -290                     -0.000495191             0.00712696               -0.000280824            
-5                        -5                       -290                     -0.000463453             0.00720303               -0.000328406            
0                         -5                       -290                     -0.000441911             0.00738123               -0.000294482            
5                         -5                       -290                     -0.000207317             0.00782849               -0.000149236            
10                        -5                       -290                     -1.27173e-05             0.00708284               -2.06497e-05            
15                        -5                       -290                     -0.000431819             0.00714887               0.000151305             
-15                       0                        -290                     -0.000137344             0.00741524               0.00040959              
-10                       0                        -290                     -0.000237256             0.00755815               -1.74757e-05            
-5                        0                        -290                     -0.000648956             0.00758089               0.000215688             
0                         0                        -290                     -0.000188995             0.00747333               -0.000129488            
5                         0                        -290                     -0.000149502             0.00758318               0.000499135             
10                        0                        -290                     -0.000419064             0.00802196               0.000211421             
15                        0                        -290                     4.19244e-05              0.00761926               0.00033286              
-15                       5                        -290                     -0.000227989             0.00750818               0.000271225             
-10                       5                        -290                     -0.000166428             0.0072547                0.000548701             
-5                        5                        -290                     -0.000336407             0.00707818               0.00018605              
0                         5                        -290                     -0.000120945             0.00739531               0.000459042             
5                         5                        -290                     -9.65682e-05             0.00730276               0.000704715             
10                        5                        -290                     -0.000152283             0.00724589               0.000378006             
15                        5                        -290                     -0.000176545             0.00759858               0.00041676              
-15                       10                       -290                     2.67705e-05              0.007204                 0.000760341             
-10                       10                       -290                     -0.000190752             0.0071075                0.00131832              
-5                        10                       -290                     -0.000188329             0.00737771               0.000800487             
0                         10                       -290                     -0.000192267             0.00751781               0.000990717             
5                         10                       -290                     -0.000359976             0.00731057               0.00105037              
10                        10                       -290                     -0.000562495             0.00700004               0.000815304             
15                        10                       -290                     -0.000246992             0.00720774               0.000664109             
-15                       15                       -290                     0                        0                        0                       
-10                       15                       -290                     -1.01977e-05             0.00738939               0.00148201              
-5                        15                       -290                     9.4402e-06               0.00705679               0.00124943              
0                         15                       -290                     -0.000129917             0.00748315               0.00135914              
5                         15                       -290                     -0.000412057             0.00704922               0.00154557              
10                        15                       -290                     -0.000575538             0.00703843               0.00137768              
15                        15                       -290                     0                        0                        0                       
-15                       -15                      -285                     0                        0                        0                       
-10                       -15                      -285                     -0.000222597             0.00792191               -0.00115406             
-5                        -15                      -285                     0.000168217              0.00770104               -0.0010053              
0                         -15                      -285                     -0.000266712             0.0076862                -0.00135927             
5                         -15                      -285                     -0.000519965             0.00772486               -0.00113027             
10                        -15                      -285                     -0.000315828             0.00748764               -0.000997291            
15                        -15                      -285                     0                        0                        0                       
-15                       -10                      -285                     -1.32164e-05             0.00765369               -0.000645535            
-10                       -10                      -285                     -0.000213667             0.00739767               -0.000532212            
-5                        -10                      -285                     -0.000421439             0.00777411               -0.000616071            
0                         -10                      -285                     -0.000495247             0.00738067               -0.000740745            
5                         -10                      -285                     -0.000255507             0.00760813               -0.000356376            
10                        -10                      -285                     -0.000412352             0.00736332               -4.84198e-05            
15                        -10                      -285                     -0.000538249             0.0076881                -0.000295859            
-15                       -5                       -285                     -0.000509997             0.00792012               -0.000412567            
-10                       -5                       -285                     -0.000320941             0.00764467               -0.00012877             
-5                        -5                       -285                     -0.000510981             0.00786323               -0.00068703             
0                         -5                       -285                     -0.000432047             0.00794862               -4.68533e-05            
5                         -5                       -285                     -0.000339006             0.0075912                -2.65835e-06            
10                        -5                       -285                     -0.000259823             0.00794637               5.00009e-05             
15                        -5                       -285                     -0.000194162             0.00782344               -6.20133e-05            
-15                       0                        -285                     -0.00056207              0.00771177               0.000434476             
-10                       0                        -285                     -0.00058314              0.00802801               0.000246366             
-5                        0                        -285                     -0.000225255             0.00801393               0.000110083             
0                         0                        -285                     -0.00014702              0.00787428               0.000587646             
5                         0                        -285                     -0.000251042             0.00845072               0.000465537             
10                        0                        -285                     -0.000296002             0.00845144               9.9021e-05              
15                        0                        -285                     -0.000486722             0.00784163               0.000738655             
-15                       5                        -285                     -0.000462999             0.00787594               0.000653188             
-10                       5                        -285                     -0.000241534             0.00807073               0.00048527              
-5                        5                        -285                     -0.000659784             0.00750994               0.000396113             
0                         5                        -285                     -0.000648253             0.00807924               0.000702074             
5                         5                        -285                     -0.000365366             0.00770812               0.000637726             
10                        5                        -285                     -0.000398457             0.0080022                0.000912966             
15                        5                        -285                     -0.00049646              0.00788321               0.000726836             
-15                       10                       -285                     -9.81028e-05             0.00749346               0.00135575              
-10                       10                       -285                     -0.000347534             0.00758854               0.00111002              
-5                        10                       -285                     -2.4699e-05              0.00708072               0.000793782             
0                         10                       -285                     -1.48135e-05             0.0078005                0.00110318              
5                         10                       -285                     -0.000430096             0.00742386               0.00113057              
10                        10                       -285                     -0.000826644             0.00769579               0.00116466              
15                        10                       -285                     -0.000384357             0.0075201                0.000998238             
-15                       15                       -285                     0                        0                        0                       
-10                       15                       -285                     -0.000256252             0.00759248               0.00106338              
-5                        15                       -285                     2.94613e-05              0.0078063                0.00155455              
0                         15                       -285                     -0.000256414             0.00804705               0.00132243              
5                         15                       -285                     -0.000216874             0.00791048               0.00159587              
10                        15                       -285                     -0.00042873              0.00801206               0.00172726              
15                        15                       -285                     0                        0                        0                       
-15                       -15                      -280                     0                        0                        0                       
-10                       -15                      -280                     -0.000429548             0.00820336               -0.00140967             
-5                        -15                      -280                     0.000141964              0.00856397               -0.00151809             
0                         -15                      -280                     -0.000111689             0.00818647               -0.00161688             
5                         -15                      -280                     -0.000266819             0.00807518               -0.00112527             
