% X,Y,Z(stage),Zmagnet,Field X (T),Field Y (T),Field Z (T),
-0.5905512,-0.19685039,8.26739979,16.06739979,0.00000658,0.00121716,-0.00011554,
-0.5905512,-0.19685039,8.46440029,16.26440029,0.00001761,0.00120362,-0.00013535,
-0.5905512,-0.19685039,8.66139984,16.46139984,0.00000254,0.00103344,-0.00016323,
-0.5905512,-0.19685039,8.8579998,16.6579998,-0.00004028,0.00102232,-0.00011679,
-0.5905512,-0.19685039,9.05480003,16.85480003,0.00001416,0.00098941,-0.00016254,
-0.5905512,-0.19685039,9.25160027,17.05160027,-0.00001167,0.00087141,-0.00011016,
-0.5905512,-0.19685039,9.44859982,#REF!,-0.00004475,0.00082969,-0.00012587,
-0.5905512,-0.19685039,9.64540005,17.44540005,-0.000036,0.00078758,-0.00010974,
-0.5905512,-0.19685039,9.8423996,17.6423996,0.00001795,0.00072041,-0.0001373,
-0.5905512,-0.19685039,10.03899956,17.83899956,-0.00002632,0.00068714,-0.00012227,
-0.5905512,-0.19685039,10.23600006,18.03600006,-0.00004617,0.00062372,-0.00011159,
-0.5905512,-0.19685039,10.43280029,18.23280029,0.00005012,0.0006122,-0.00006812,
-0.5905512,-0.19685039,10.62959957,18.42959957,0.00001883,0.00058514,-0.00004189,
-0.5905512,-0.19685039,10.8263998,18.6263998,-0.00000255,0.00060424,-0.00009013,
-0.5905512,-0.19685039,11.02340031,18.82340031,-0.00002869,0.00050299,-0.00007005,
-0.5905512,0,0.0002,7.8002,-0.00137089,0.14679177,-0.00084284,
-0.5905512,0,0.19660001,7.99660001,-0.00122271,0.12451003,-0.00081832,
-0.5905512,0,0.39340001,8.19340001,-0.00100255,0.10543318,-0.00068462,
-0.5905512,0,0.59039998,8.39039998,-0.00086668,0.08948741,-0.00070845,
-0.5905512,0,0.78719997,8.58719997,-0.00073861,0.07608022,-0.00062729,
-0.5905512,0,0.98400003,8.78400003,-0.00062895,0.06506274,-0.00063687,
-0.5905512,0,1.18079996,8.98079996,-0.00059382,0.05571869,-0.00059204,
-0.5905512,0,1.37759995,9.17759995,-0.00051411,0.04795126,-0.00058376,
-0.5905512,0,1.57459998,9.37459998,-0.00048354,0.04131349,-0.00049562,
