% X,Y,Z(stage),Zmagnet,Field X (T),Field Y (T),Field Z (T),t_hall_begin,2.362
-0.5905512,0.19685039,8.07059956,5.70859956,-0.00909734,0.78348707,0.07675231,"5,038.55",
-0.5905512,0.19685039,8.26739979,5.90539979,-0.00716434,0.71011171,0.08044238,"5,160.43",
-0.5905512,0.19685039,8.46440029,6.10240029,-0.00457312,0.6324655,0.08242101,"5,281.93",
-0.5905512,0.19685039,8.66119957,6.29919957,-0.00166766,0.55356268,0.08052964,"5,403.75",
-0.5905512,0.19685039,8.85820007,6.49620007,0.0006998,0.4773231,0.07482021,"5,525.42",
-0.5905512,0.19685039,9.05480003,6.69280003,0.00229269,0.40754952,0.0679322,"5,646.94",
-0.5905512,0.19685039,9.25160027,6.88960027,0.00309995,0.34515368,0.05943597,"5,768.55",
-0.5905512,0.19685039,9.44859982,7.08659982,0.00325879,0.29109174,0.05041699,"5,890.10",
-0.5905512,0.19685039,9.64540005,7.28340005,0.0030599,0.24482323,0.042778,"6,011.84",
-0.5905512,0.19685039,9.84220028,7.48020028,0.00274337,0.20589637,0.03561051,"6,133.32",
-0.5905512,0.19685039,10.03899956,7.67699956,0.00237421,0.17331109,0.02990738,"6,254.93",
-0.5905512,0.19685039,10.23620033,7.87420033,0.0019266,0.14611226,0.024827,"6,376.42",
-0.5905512,0.19685039,10.43280029,8.07080029,0.00152802,0.12349266,0.02046518,"6,498.09",
-0.5905512,0.19685039,10.62959957,8.26759957,0.00126656,0.10445981,0.01698407,"6,620.19",
-0.5905512,0.19685039,10.8263998,8.4643998,0.00098006,0.0887779,0.01399904,"6,741.74",
-0.5905512,0.19685039,11.02340031,8.66140031,0.000868,0.07556414,0.01170401,"6,863.44",
-0.5905512,0.39370078,0.0002,-2.3618,0.00283274,0.07198245,-0.02311185,17.7061,
-0.5905512,0.39370078,0.19660001,-2.16539999,0.00354397,0.08395067,-0.02761915,140.0161,
-0.5905512,0.39370078,0.39340001,-1.96859999,0.00454419,0.09918807,-0.03384022,261.7861,
-0.5905512,0.39370078,0.59039998,-1.77160002,0.00578279,0.11773138,-0.04127552,383.6661,
-0.5905512,0.39370078,0.78740001,-1.57459999,0.00742356,0.14034403,-0.05058418,505.3461,
-0.5905512,0.39370078,0.98400003,-1.37799997,0.00949934,0.16824202,-0.06210208,627.5661,
-0.5905512,0.39370078,1.18079996,-1.18120004,0.01236507,0.20218999,-0.07706982,749.5961,
-0.5905512,0.39370078,1.37759995,-0.98440005,0.01619284,0.24446065,-0.09581585,871.5361,
-0.5905512,0.39370078,1.57459998,-0.78740002,0.02121087,0.2970637,-0.12032215,993.5161,
-0.5905512,0.39370078,1.77139997,-0.59060003,0.02765205,0.3633223,-0.15188818,"1,115.79",
-0.5905512,0.39370078,1.96819997,-0.39380003,0.03591438,0.44808969,-0.19473692,"1,237.96",
-0.5905512,0.39370078,2.1652,-0.1968,0.04385686,0.55671977,-0.24871386,"1,360.06",
-0.5905512,0.39370078,2.36199999,-1E-08,0.04509285,0.70286216,-0.31638435,"1,482.24",
-0.5905512,0.39370078,2.55879998,0.19679998,0.01396532,0.90704769,-0.37260109,"1,604.17",
-0.5905512,0.39370078,2.75559998,0.39359998,-0.03592199,1.13501295,-0.31282011,"1,726.20",
-0.5905512,0.39370078,2.95239997,0.59039997,-0.00908483,1.2879496,-0.19100875,"1,848.03",
-0.5905512,0.39370078,3.1494,0.7874,0.05808025,1.37699598,-0.10809022,"1,969.93",
-0.5905512,0.39370078,3.34640002,0.98440002,0.10922306,1.42655873,-0.06280141,"2,091.89",
-0.5905512,0.39370078,3.54299998,1.18099998,0.13956797,1.45161661,-0.0351637,"2,213.77",
-0.5905512,0.39370078,3.73979998,1.37779998,0.16880916,1.47651276,-0.01886925,"2,335.68",
-0.5905512,0.39370078,3.9368,1.5748,0.18645736,1.49341025,-0.00255913,"2,457.68",
-0.5905512,0.39370078,4.13360023,1.77160023,0.18885686,1.49845585,0.01372072,"2,579.37",
-0.5905512,0.39370078,4.33039999,1.96839999,0.17345901,1.49288811,0.03192224,"2,701.67",
-0.5905512,0.39370078,4.52740002,2.16540002,0.13707293,1.46193031,0.0495336,"2,823.52",
-0.5905512,0.39370078,4.72440004,2.36240004,0.09536865,1.41544766,0.04923077,"2,945.83",
-0.5905512,0.39370078,4.921,2.559,0.06690233,1.39143614,0.03898842,"3,068.00",
-0.5905512,0.39370078,5.11780024,2.75580024,0.05129618,1.38123087,0.0331663,"3,190.01",
-0.5905512,0.39370078,5.31459999,2.95259999,0.04236647,1.37419657,0.031666,"3,312.10",
-0.5905512,0.39370078,5.51179981,3.14979981,0.0359477,1.36617035,0.0330569,"3,434.23",
-0.5905512,0.39370078,5.70839977,3.34639977,0.02921594,1.35782236,0.03854209,"3,556.38",
-0.5905512,0.39370078,5.9053998,3.5433998,0.02183948,1.34517368,0.05048935,"3,678.59",
-0.5905512,0.39370078,6.10200024,3.74000024,0.01383937,1.32224688,0.06907447,"3,801.13",
-0.5905512,0.39370078,6.29899979,3.93699979,0.0070779,1.28500504,0.09118208,"3,923.08",
-0.5905512,0.39370078,6.49580002,4.13380002,0.00402911,1.23257431,0.10895515,"4,044.87",
-0.5905512,0.39370078,6.69259977,4.33059977,0.00343327,1.17279314,0.11505698,"4,166.87",
-0.5905512,0.39370078,6.88940001,4.52740001,0.00143759,1.11643137,0.11185452,"4,289.16",
-0.5905512,0.39370078,7.08640003,4.72440003,-0.00261935,1.06573738,0.10808946,"4,411.02",
-0.5905512,0.39370078,7.28340006,4.92140006,-0.00708532,1.01793341,0.10829865,"4,533.28",
-0.5905512,0.39370078,7.48019981,5.11819981,-0.01086103,0.96932739,0.11315034,"4,655.17",
-0.5905512,0.39370078,7.67679977,5.31479977,-0.0136532,0.91645531,0.1221841,"4,776.92",
-0.5905512,0.39370078,7.8737998,5.5117998,-0.01493715,0.85777144,0.13476156,"4,898.85",
