% Model:              Data taken by AP-STD
% Version:            2 mm spaced file for 2nd magnet
% Date:               Oct 26 2023           12:19
% Dimension:          3
% Nodes:              2700
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bz (T)              mfnc.By (T)              mfnc.Bx (T)
0.99978961          -12.99836903          180.0579843          0.177028545          -0.422883091          0.007228091
3.000021546          -12.99832449          180.058171          0.177446545          -0.422465091          0.005602091
3.000224177          -12.99846162          175.0581751          0.190660545          -0.496738091          0.007581091
3.00002245          -12.99823601          170.0579759          0.196242545          -0.575673091          0.009922091
3.000077862          -12.99840511          165.0578522          0.192903545          -0.654871091          0.012158091
2.999937598          -12.99808529          160.0579674          0.181308545          -0.729507091          0.014015091
2.999823971          -12.99812007          155.0581959          0.165178545          -0.796575091          0.015249091
2.999901431          -12.99832122          150.0569125          0.147583545          -0.854256091          0.015690091
2.999969819          -12.99832704          145.0582692          0.132261545          -0.903489091          0.015588091
3.000138607          -12.99799654          140.0578045          0.121098545          -0.946229091          0.015036091
3.000126359          -12.99800042          135.0580905          0.115755545          -0.985381091          0.014087091
3.000060135          -12.99829775          130.0578988          0.116171545          -1.025164091          0.013080091
2.999861828          -12.99818196          125.0574556          0.118915545          -1.069275091          0.012207091
2.999838695          -12.99803903          120.0580585          0.118000545          -1.118031091          0.011770091
2.999913336          -12.99810181          115.0580158          0.107717545          -1.166201091          0.011472091
2.999778241          -12.99845287          110.0583415          0.089571545          -1.205844091          0.010755091
4.999799737          -12.99800621          110.0580085          0.088694545          -1.205303091          0.001270091
4.999934832          -12.99815515          115.0581828          0.106981545          -1.165620091          0.003525091
4.999860191          -12.99809237          120.0582254          0.117303545          -1.117295091          0.005163091
4.999883324          -12.9982353          125.0581226          0.118180545          -1.068361091          0.006937091
5.000081631          -12.99835109          130.0580657          0.115136545          -1.024665091          0.009251091
5.000147855          -12.99805376          135.0582575          0.114916545          -0.985102091          0.011699091
5.000160103          -12.99804988          140.0579714          0.120315545          -0.946017091          0.013871091
4.999991315          -12.99838038          145.0579361          0.131552545          -0.903562091          0.015436091
4.999922927          -12.99837456          150.0580795          0.147214545          -0.854574091          0.016287091
4.999845467          -12.99817341          155.0583628          0.165113545          -0.796811091          0.016145091
4.999959094          -12.99813863          160.0581343          0.181530545          -0.729833091          0.014894091
5.000099358          -12.99845845          165.0580191          0.193296545          -0.655206091          0.012640091
5.000043946          -12.99828935          170.0581428          0.197114545          -0.575701091          0.009630091
5.000245673          -12.99801496          175.058342          0.191510545          -0.496257091          0.006586091
5.000043042          -12.99837783          180.058338          0.177771545          -0.421862091          0.003974091
7.00000257          -12.9979837          180.0579944          0.178252545          -0.420925091          0.002228091
7.000205201          -12.99812083          175.0574984          0.191844545          -0.495661091          0.005457091
7.000003474          -12.99839522          170.0582992          0.197848545          -0.575356091          0.009338091
7.000058886          -12.99806432          165.0576755          0.193894545          -0.655339091          0.013117091
6.999918622          -12.9982445          160.0582907          0.181920545          -0.730458091          0.015879091
6.999804995          -12.99827928          155.0580192          0.165006545          -0.797652091          0.017167091
6.999882455          -12.99798042          150.0582359          0.146698545          -0.855240091          0.016927091
6.999950843          -12.99798625          145.0580925          0.130726545          -0.903942091          0.015287091
7.000119631          -12.99815574          140.0581278          0.119086545          -0.946265091          0.012697091
7.000107383          -12.99815962          135.0574138          0.113420545          -0.984784091          0.009222091
7.000041159          -12.99845696          130.0582221          0.113581545          -1.023820091          0.005228091
6.999842852          -12.99834116          125.0582789          0.116655545          -1.067285091          0.001332091
6.999819719          -12.99819824          120.0578818          0.116184545          -1.116295091          -0.002039909
6.99989436          -12.99826102          115.0583391          0.105747545          -1.164851091          -0.005275909
6.999759265          -12.99811208          110.0581648          0.087205545          -1.204018091          -0.009186909
-8.999835647          -10.99840233          110.0579565          0.069118545          -1.175788091          0.064652091
-9.000200552          -10.99805127          115.0581308          0.083233545          -1.142030091          0.056460091
-8.999775193          -10.9979885          120.0581735          0.092070545          -1.100303091          0.048266091
-8.99975206          -10.99813142          125.0580706          0.094409545          -1.057009091          0.040429091
-9.000053753          -10.99824722          130.0580138          0.093829545          -1.016607091          0.033159091
-8.999987529          -10.99844988          135.0582055          0.095201545          -0.979016091          0.026666091
-8.999975281          -10.998446          140.0579195          0.100737545          -0.940716091          0.021245091
-9.000144069          -10.9982765          145.0578842          0.110729545          -0.898673091          0.016847091
-9.000212457          -10.99827068          150.0580275          0.124394545          -0.850208091          0.013506091
-8.999789917          -10.99806953          155.0583108          0.139431545          -0.793280091          0.011254091
